Lower Super Output Area,Names,Age 16-29,No cars or vans (%),Public Transport Accessibility Levels,Non-English speaking(%),Income estimate,One person household(%),Private rented (%),No usual residents (%),High qualification Level (%)
E01000907,Camden 001A,257,61.2,4.6,11.5,39985,33,13.7,0.5,44.2
E01000908,Camden 001B,240,59.5,2.9,8.9,42394,50.8,14,4.8,50.4
E01000909,Camden 001C,291,36.8,3.3,4.7,77370,30.1,18.8,2.4,61.9
E01000912,Camden 001D,356,60.6,4.6,7.7,41737,38.6,15,1.4,47.2
E01000913,Camden 001E,220,22.3,2.8,2.6,96649,29.1,19.4,10.3,65.2
E01000893,Camden 002A,236,43.8,3.2,8,84878,39.3,34.1,7.6,72.6
E01000894,Camden 002B,168,38.6,3.9,9.2,96271,33.8,35.5,7.2,71.3
E01000895,Camden 002C,258,55.3,3.9,13.6,70925,47.9,37,6.1,62.1
E01000896,Camden 002D,228,39.7,4.4,9.7,93108,34.1,35.1,5.7,73.6
E01000899,Camden 002E,176,25.9,3,6.4,100810,32.8,24.5,8.3,62.6
E01000910,Camden 003A,263,38.1,4.7,3.7,85968,29.4,21.4,3.9,66.3
E01000911,Camden 003B,250,50.4,4.9,9.4,49166,33.2,15.8,2.2,53.3
E01000921,Camden 003C,580,70.7,5.9,12.8,47076,40.3,48.8,3.1,61
E01000923,Camden 003D,325,53.8,5.6,5.8,59956,40.5,17.7,1.4,57.9
E01000928,Camden 003E,326,55.9,5.7,10.4,47154,34.3,19.6,1.3,50.6
E01000878,Camden 004A,578,34.2,4.3,13.5,74432,34.2,29.3,6.8,45.6
E01000879,Camden 004B,334,45.8,4.9,12.8,85643,39.4,40,5.6,60
E01000880,Camden 004C,187,35.6,5.8,18.7,92479,30.8,41.7,7.7,68.1
E01000884,Camden 004D,217,26.2,2.7,13.5,94537,31.4,30.8,8.3,65.3
E01000885,Camden 004E,184,19.8,2.6,12.3,103688,29.1,27.4,8.6,56.6
E01000871,Camden 005A,341,36.7,3.9,12.5,66218,29,26.7,6.8,57.8
E01000872,Camden 005B,557,65.1,5.1,23.3,42585,41.8,58.6,5.3,51.6
E01000873,Camden 005C,396,44.8,3.8,10.6,71457,33.1,33.4,2.9,65.5
E01000874,Camden 005D,323,45.9,5.9,14.1,76041,32.2,38.8,4.1,67.5
E01000877,Camden 005E,393,48.8,5,16.8,72076,37.7,46.8,5.5,64.2
E01000886,Camden 006A,251,42.2,4,7.1,66553,30.9,25.7,4.9,62.1
E01000887,Camden 006B,327,55.8,4.8,10.7,59084,38,35.5,3.4,60.9
E01000888,Camden 006C,296,53.5,4.2,9,57570,36.2,27,2.7,59.1
E01000892,Camden 006D,321,51.8,4.8,12,57900,37.4,28.4,3.1,56.6
E01000903,Camden 006E,312,52,3.8,10.3,58061,43.9,24.5,3.9,56.7
E01000889,Camden 007A,395,64.5,3.6,12.8,33676,34.1,10,0.8,28.5
E01000890,Camden 007B,316,71.1,4.1,17.5,26548,46.5,7,1.2,24.8
E01000891,Camden 007C,419,75.6,3.2,18.9,26446,41.5,16.1,1.5,27.5
E01000901,Camden 007D,567,68.7,4.6,18.1,30659,32.4,13.4,1.5,34.4
E01000922,Camden 007E,524,65.5,5.9,10.1,40839,40.7,26.5,2.2,44.2
E01000927,Camden 007F,468,54.6,6.7,10.6,57153,27.9,27.2,2.1,59.2
E01000881,Camden 008A,373,53.2,6.4,18.4,64566,39.1,54.1,7.7,62.3
E01000882,Camden 008B,254,45.5,5.4,15.8,87519,38.6,45.3,3.8,72.2
E01000883,Camden 008C,333,61.4,6.8,25.7,67080,40.4,54.2,5.1,64.2
E01000897,Camden 008D,186,37.2,4.6,13.5,96505,33.7,35,6.2,73.5
E01000898,Camden 008E,363,66,5,19.8,58510,49.2,31.6,3.3,63.5
E01000866,Camden 009A,530,62.2,6.3,13.2,44223,39.3,22,1.7,50.4
E01000870,Camden 009B,433,59,5.7,8.9,41727,40.8,19.6,2,49
E01000924,Camden 009C,423,60,5,11.7,53729,38.6,32.8,2.8,63
E01000925,Camden 009D,358,70.4,5.3,22.3,32909,39.1,16.1,1.4,34.3
E01000926,Camden 009E,515,63.9,5,18.8,43634,29.2,39,1.7,61
E01000969,Camden 010A,536,53.2,6.2,14.4,72582,35.7,51.9,3.7,71.4
E01000970,Camden 010B,462,61.5,5.8,13.1,64716,48.9,53.4,3.6,72.2
E01000971,Camden 010C,301,46.1,4.9,11.2,74044,34.2,37.4,2.8,64.5
E01000972,Camden 010D,528,66.8,6.8,21.7,39908,43.6,35.6,2.5,48.3
E01000973,Camden 010E,622,62.9,6.2,15.9,44466,38.1,46.6,5.4,56.8
E01000842,Camden 011A,240,48.8,4.1,11.6,82204,47,36.6,6.1,69.8
E01000844,Camden 011B,300,53.3,4.4,17.1,80968,41.6,49.1,4.8,70.9
E01000848,Camden 011C,219,49.2,4.3,15.5,79743,43.2,38.8,6.1,67.4
E01000849,Camden 011D,344,63.6,4.7,13.2,67381,54.1,47.2,5.2,68.7
E01000900,Camden 012A,448,65.3,4.3,10.8,41250,33.8,24,1.7,42.4
E01000902,Camden 012B,340,67.5,3.2,17.1,32532,36.6,17.3,2.6,35.8
E01000904,Camden 012C,568,65.4,6.7,13.8,38623,33.7,24,2.7,40.8
E01000905,Camden 012D,462,71.6,5,20.6,27854,36.9,13.4,1.6,27.1
E01000906,Camden 012E,364,53,4.7,9.8,64618,40.5,35.7,5.7,67.2
E01000875,Camden 013A,539,66.4,4.9,21.7,43936,44,52.2,4,56.1
E01000876,Camden 013B,442,64.9,4.6,21.9,37177,42.8,29.1,1.1,44.4
E01000931,Camden 013C,489,70.1,5.7,24.5,34059,40.9,37,2.2,37.4
E01000932,Camden 013D,552,65.3,6.1,13.9,49291,42.4,37.7,2.4,61
E01000974,Camden 013E,533,64.9,5.8,15.3,39668,43.6,37.3,1.3,45.8
E01000843,Camden 014A,339,57.4,4,17,58871,41.8,38.1,6,63.2
